                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.39913,                0.31883,                0.87853,                0.29034,                      1,                0.34396,                0.32729,                0.27481,                 4.2162,                0.79509,             0.00061915,             0.00061915,             0.00061915
                     36,                0.42421,                0.33592,                0.89907,                0.28175,                      1,                0.32595,                 0.3137,                0.25573,                 4.3768,                0.79299,             0.00063446,             0.00063446,             0.00063446
                     37,                0.41317,                0.32224,                0.87113,                0.38646,                      1,                0.50878,                0.50386,                0.22021,                 1.9965,                0.78846,             0.00064965,             0.00064965,             0.00064965
                     38,                0.38837,                0.31154,                0.87598,                0.48469,                      1,                0.65066,                0.64562,                0.20957,                 1.2765,                0.78922,              0.0006647,              0.0006647,              0.0006647
                     39,                0.38839,                0.32003,                0.87104,                0.46258,                      1,                0.51241,                 0.5083,                0.24235,                 1.1947,                0.79544,             0.00067961,             0.00067961,             0.00067961
                     40,                0.41563,                0.32636,                0.89036,                0.78753,                0.97595,                0.86349,                0.85809,                0.23747,                0.43093,                0.79777,              0.0006944,              0.0006944,              0.0006944
                     41,                0.41378,                0.34753,                 0.8857,                0.99343,                      1,                  0.995,                0.98949,                0.22417,                0.27205,                  0.797,             0.00070905,             0.00070905,             0.00070905
                     42,                 0.3727,                0.30805,                0.86343,                0.99717,                      1,                  0.995,                0.97089,                0.22769,                0.27338,                 0.7982,             0.00072358,             0.00072358,             0.00072358
                     43,                0.35806,                0.29163,                0.87195,                0.99727,                      1,                  0.995,                 0.9695,                0.24362,                0.28887,                0.79927,             0.00073797,             0.00073797,             0.00073797
                     44,                0.38512,                0.30349,                0.86735,                0.99719,                      1,                  0.995,                0.96757,                0.23836,                0.26258,                0.79885,             0.00075222,             0.00075222,             0.00075222
                     45,                0.39682,                0.31873,                0.86608,                0.99685,                      1,                  0.995,                0.98618,                0.23845,                0.24355,                  0.799,             0.00076635,             0.00076635,             0.00076635
                     46,                0.40624,                0.31124,                0.88708,                0.99593,                      1,                  0.995,                0.98729,                0.24778,                 0.2514,                0.79644,             0.00078034,             0.00078034,             0.00078034
                     47,                0.37962,                0.31057,                0.86898,                0.99569,                      1,                  0.995,                0.97163,                0.27161,                0.30399,                0.79785,             0.00079421,             0.00079421,             0.00079421
                     48,                0.37423,                  0.306,                0.85683,                0.99726,                      1,                  0.995,                0.97778,                 0.2514,                0.29621,                0.79567,             0.00080794,             0.00080794,             0.00080794
                     49,                0.43428,                0.32456,                0.88774,                0.99736,                      1,                  0.995,                  0.995,                0.23538,                0.26849,                0.79516,             0.00082153,             0.00082153,             0.00082153
